RNC;Cálculo da distância;Limítrofe;Precisão (%);Revocação (%);Medida-F (%);Percentual de acertos
NN4 Small 1;Euclideana;0.83;63,80;61,13;59,52;61,76
NN4 Small 1;Euclideana;0.87;63,12;61,21;60,07;61,76
NN4 Small 1;Euclideana;0.89;61,17;59,78;58,79;60,29
NN4 Small 1;Cosseno;0.305;63,22;59,52;56,93;60,29
NN4 Small 1;Cosseno;0.355;61,67;59,70;58,26;60,29
NN4 Small 1;Cosseno;0.405;61,17;59,78;58,79;60,29
Inception Resnet V1;Euclideana;1.0;60,15;58,18;56,41;58,82
Inception Resnet V1;Euclideana;1.05;61,67;59,70;58,26;60,29
Inception Resnet V1;Euclideana;1.1;62,61;61,30;60,54;61,76
Inception Resnet V1;Cosseno;0.4;55,05;53,64;50,55;54,41
Inception Resnet V1;Cosseno;0.5;60,15;58,18;56,41;58,82
Inception Resnet V1;Cosseno;0.6;62,61;61,30;60,54;61,76
VGG Faces;Euclideana;0.00028;61,17;59,78;58,79;60,29
VGG Faces;Euclideana;0.00029;60,53;59,96;59,59;60,29
VGG Faces;Euclideana;0.0003;58,80;58,61;58,50;58,82
VGG Faces;Cosseno;0.0001;61,17;59,78;58,79;60,29
VGG Faces;Cosseno;0.000105;61,17;59,78;58,79;60,29
VGG Faces;Cosseno;0.00011;60,53;59,96;59,59;60,29
